Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2026-03-13,S004,P0002,Snacks,West,14,6,0,6,5.11,0.05,Sunny,0,5.4,Spring
2026-03-13,S004,P0003,Beverages,West,224,20,0,22,2.38,0.2,Sunny,0,2.37,Spring
2026-03-13,S004,P0004,Beverages,West,341,15,321,15,2.56,0,Rainy,1,2.86,Spring
2026-03-13,S004,P0005,Dairy,West,194,5,173,5,3.85,0.05,Cloudy,0,4.26,Spring
2026-03-13,S004,P0006,Dairy,West,1481,56,0,58,3.85,0.05,Cloudy,0,3.67,Spring
2026-03-13,S004,P0007,Beverages,West,23,18,0,17,2.44,0.05,Snowy,1,2.37,Spring
2026-03-13,S004,P0008,Frozen Foods,West,7,17,0,14,7.22,0.05,Cloudy,1,8.01,Spring
2026-03-13,S004,P0009,Personal Care,West,822,16,75,17,8.83,0.2,Rainy,0,7.99,Spring
2026-03-13,S004,P0010,Snacks,West,17,8,0,8,5.1,0.15,Rainy,0,5.8,Spring
2026-03-13,S004,P0011,Household,West,1847,5,208,4,12.81,0,Sunny,0,12.09,Spring
2026-03-13,S004,P0012,Household,West,1253,5,0,5,13.48,0,Windy,0,11.81,Spring
2026-03-13,S004,P0013,Bakery,West,485,4,472,4,3.42,0.2,Cloudy,0,3.45,Spring
2026-03-13,S004,P0014,Bakery,West,856,8,0,8,3.57,0.05,Windy,0,3.9,Spring
2026-03-13,S004,P0015,Produce,West,1540,7,0,6,3.04,0.15,Cloudy,0,3.38,Spring
2026-03-13,S004,P0016,Produce,West,1235,21,0,20,3.03,0.1,Cloudy,0,2.66,Spring
2026-03-13,S004,P0017,Meat,West,846,7,471,7,9.79,0.05,Sunny,1,11.77,Spring
2026-03-13,S004,P0018,Meat,West,418,10,0,8,10.38,0,Snowy,0,10.67,Spring
2026-03-13,S004,P0019,Canned Goods,West,341,13,326,13,2.04,0.05,Sunny,0,2.08,Spring
2026-03-13,S004,P0020,Canned Goods,West,1134,33,0,34,1.93,0.05,Rainy,0,1.67,Spring
2026-03-13,S005,P0001,Snacks,Southwest,17,45,0,39,4.88,0,Snowy,1,4.42,Spring
2026-03-13,S005,P0002,Snacks,Southwest,29,8,0,8,4.86,0,Windy,0,5.65,Spring
2026-03-13,S005,P0003,Beverages,Southwest,19,27,0,29,2.42,0.2,Rainy,0,2.59,Spring
2026-03-13,S005,P0004,Beverages,Southwest,329,3,0,3,2.56,0,Sunny,1,2.35,Spring
2026-03-13,S005,P0005,Dairy,Southwest,1809,23,0,19,3.9,0,Snowy,0,4.38,Spring
2026-03-13,S005,P0006,Dairy,Southwest,185,14,0,14,3.83,0.1,Rainy,0,3.26,Spring
2026-03-13,S005,P0007,Beverages,Southwest,529,41,0,40,2.61,0,Snowy,0,2.42,Spring
2026-03-13,S005,P0008,Frozen Foods,Southwest,443,16,414,13,6.7,0.1,Rainy,1,6.36,Spring
2026-03-13,S005,P0009,Personal Care,Southwest,1995,13,0,12,8.57,0,Snowy,0,8.25,Spring
2026-03-13,S005,P0010,Snacks,Southwest,150,12,0,11,5.18,0.05,Cloudy,0,4.79,Spring
2026-03-13,S005,P0011,Household,Southwest,1152,45,210,42,12.67,0,Snowy,1,14.71,Spring
2026-03-13,S005,P0012,Household,Southwest,30,19,0,20,13.06,0.1,Windy,0,13.87,Spring
2026-03-13,S005,P0013,Bakery,Southwest,2355,20,497,22,3.57,0,Windy,0,2.94,Spring
2026-03-13,S005,P0014,Bakery,Southwest,1171,17,129,15,3.35,0.2,Windy,0,3.86,Spring
2026-03-13,S005,P0015,Produce,Southwest,489,10,463,11,3.13,0.2,Windy,0,3.16,Spring
2026-03-13,S005,P0016,Produce,Southwest,7,18,0,15,2.92,0.2,Cloudy,0,2.81,Spring
2026-03-13,S005,P0017,Meat,Southwest,1041,21,123,18,10.23,0,Sunny,0,8.85,Spring
2026-03-13,S005,P0018,Meat,Southwest,335,37,0,35,10.21,0.2,Windy,0,11.52,Spring
2026-03-13,S005,P0019,Canned Goods,Southwest,643,2,0,2,1.94,0.15,Snowy,0,1.94,Spring
2026-03-13,S005,P0020,Canned Goods,Southwest,1592,28,0,26,1.91,0.15,Windy,0,2.12,Spring
2026-03-14,S001,P0001,Snacks,Northeast,13,8,0,6,4.89,0,Rainy,0,4.57,Spring
2026-03-14,S001,P0002,Snacks,Northeast,1788,27,304,24,4.93,0.15,Rainy,0,5.66,Spring
2026-03-14,S001,P0003,Beverages,Northeast,251,4,86,4,2.38,0,Snowy,0,2.85,Spring
2026-03-14,S001,P0004,Beverages,Northeast,367,3,343,3,2.47,0,Snowy,1,2.32,Spring
2026-03-14,S001,P0005,Dairy,Northeast,1900,43,366,47,4.16,0,Snowy,0,3.58,Spring
2026-03-14,S001,P0006,Dairy,Northeast,666,53,0,51,3.91,0,Rainy,0,3.46,Spring
2026-03-14,S001,P0007,Beverages,Northeast,795,18,0,20,2.45,0.15,Rainy,0,2.14,Spring
2026-03-14,S001,P0008,Frozen Foods,Northeast,789,5,0,5,7.1,0,Snowy,0,7.17,Spring
2026-03-14,S001,P0009,Personal Care,Northeast,14,39,0,43,8.6,0,Snowy,1,8.29,Spring
2026-03-14,S001,P0010,Snacks,Northeast,1198,7,0,6,4.78,0.05,Snowy,1,4.73,Spring
2026-03-14,S001,P0011,Household,Northeast,1796,30,0,31,13.0,0.05,Windy,0,14.51,Spring
2026-03-14,S001,P0012,Household,Northeast,1542,8,0,7,12.96,0,Sunny,0,14.61,Spring
2026-03-14,S001,P0013,Bakery,Northeast,14,8,0,8,3.38,0,Snowy,0,3.52,Spring
2026-03-14,S001,P0014,Bakery,Northeast,1026,43,0,48,3.45,0.2,Cloudy,0,2.87,Spring
2026-03-14,S001,P0015,Produce,Northeast,526,46,0,43,3.01,0.05,Cloudy,0,3.41,Spring
2026-03-14,S001,P0016,Produce,Northeast,447,48,0,45,3.01,0,Cloudy,0,3.18,Spring
2026-03-14,S001,P0017,Meat,Northeast,16,20,0,18,9.87,0.2,Cloudy,0,10.67,Spring
2026-03-14,S001,P0018,Meat,Northeast,1822,61,0,63,9.91,0,Sunny,0,8.71,Spring
2026-03-14,S001,P0019,Canned Goods,Northeast,446,34,442,30,2.09,0,Sunny,0,2.22,Spring
2026-03-14,S001,P0020,Canned Goods,Northeast,9,35,0,36,2.06,0.1,Rainy,0,1.71,Spring
2026-03-14,S002,P0001,Snacks,Southeast,19,16,0,17,4.76,0,Rainy,0,5.21,Spring
2026-03-14,S002,P0002,Snacks,Southeast,459,20,451,18,4.86,0.2,Snowy,0,4.38,Spring
2026-03-14,S002,P0003,Beverages,Southeast,1969,42,342,41,2.44,0.05,Windy,0,2.95,Spring
2026-03-14,S002,P0004,Beverages,Southeast,549,12,0,13,2.38,0.05,Cloudy,0,2.09,Spring
2026-03-14,S002,P0005,Dairy,Southeast,2,70,0,65,4.09,0,Snowy,0,3.43,Spring
2026-03-14,S002,P0006,Dairy,Southeast,1883,38,163,42,4.16,0.05,Sunny,0,3.79,Spring
2026-03-14,S002,P0007,Beverages,Southeast,15,32,0,29,2.44,0,Cloudy,0,2.13,Spring
2026-03-14,S002,P0008,Frozen Foods,Southeast,494,40,474,42,6.74,0.15,Snowy,0,5.61,Spring
2026-03-14,S002,P0009,Personal Care,Southeast,1198,26,0,28,8.53,0.15,Windy,0,7.17,Spring
2026-03-14,S002,P0010,Snacks,Southeast,18,8,0,6,4.95,0.2,Windy,0,4.21,Spring
2026-03-14,S002,P0011,Household,Southeast,1889,61,0,63,13.09,0.15,Rainy,0,10.4,Spring
2026-03-14,S002,P0012,Household,Southeast,1481,6,342,5,13.21,0.1,Cloudy,1,13.13,Spring
2026-03-14,S002,P0013,Bakery,Southeast,1137,37,0,35,3.48,0.15,Snowy,0,3.15,Spring
2026-03-14,S002,P0014,Bakery,Southeast,429,17,0,16,3.57,0.15,Sunny,0,3.82,Spring
2026-03-14,S002,P0015,Produce,Southeast,1100,2,0,2,3.08,0,Snowy,0,2.96,Spring
2026-03-14,S002,P0016,Produce,Southeast,1801,33,0,35,3.12,0,Cloudy,0,3.34,Spring
2026-03-14,S002,P0017,Meat,Southeast,23,8,0,8,10.48,0.1,Snowy,0,11.0,Spring
2026-03-14,S002,P0018,Meat,Southeast,1656,22,0,24,9.82,0,Cloudy,0,9.59,Spring
2026-03-14,S002,P0019,Canned Goods,Southeast,18,31,0,35,1.99,0.05,Cloudy,0,2.01,Spring
2026-03-14,S002,P0020,Canned Goods,Southeast,1762,34,422,29,2.01,0.2,Rainy,0,1.85,Spring
2026-03-14,S003,P0001,Snacks,Midwest,1512,7,0,6,5.04,0.05,Rainy,0,4.69,Spring
2026-03-14,S003,P0002,Snacks,Midwest,1474,21,0,21,4.96,0.15,Sunny,1,5.26,Spring
2026-03-14,S003,P0003,Beverages,Midwest,1024,7,0,7,2.4,0.1,Snowy,1,2.06,Spring
2026-03-14,S003,P0004,Beverages,Midwest,2,46,0,44,2.51,0.1,Rainy,0,2.94,Spring
2026-03-14,S003,P0005,Dairy,Midwest,114,5,0,5,4.0,0.05,Cloudy,0,3.59,Spring
2026-03-14,S003,P0006,Dairy,Midwest,4,31,0,30,3.94,0.1,Sunny,0,3.61,Spring
2026-03-14,S003,P0007,Beverages,Midwest,668,38,0,40,2.61,0,Sunny,1,2.07,Spring
2026-03-14,S003,P0008,Frozen Foods,Midwest,1994,35,415,40,7.21,0.2,Cloudy,0,7.58,Spring
2026-03-14,S003,P0009,Personal Care,Midwest,1704,30,0,33,8.67,0.15,Rainy,0,8.52,Spring
2026-03-14,S003,P0010,Snacks,Midwest,25,16,0,14,4.99,0,Windy,0,4.92,Spring
2026-03-14,S003,P0011,Household,Midwest,1865,65,0,56,12.86,0.15,Snowy,0,14.39,Spring
2026-03-14,S003,P0012,Household,Midwest,27,28,0,31,13.17,0.05,Snowy,0,12.18,Spring
2026-03-14,S003,P0013,Bakery,Midwest,20,38,0,41,3.36,0.1,Sunny,0,3.52,Spring
2026-03-14,S003,P0014,Bakery,Midwest,19,13,0,14,3.39,0.1,Cloudy,0,3.14,Spring
2026-03-14,S003,P0015,Produce,Midwest,1851,38,0,33,2.93,0.1,Sunny,0,2.59,Spring
2026-03-14,S003,P0016,Produce,Midwest,1203,72,0,75,3.06,0.1,Cloudy,0,3.07,Spring
2026-03-14,S003,P0017,Meat,Midwest,1837,20,0,17,10.13,0.1,Cloudy,0,11.06,Spring
2026-03-14,S003,P0018,Meat,Midwest,534,47,0,46,10.12,0,Cloudy,0,11.21,Spring
2026-03-14,S003,P0019,Canned Goods,Midwest,219,2,202,1,1.9,0.05,Snowy,0,1.75,Spring
2026-03-14,S003,P0020,Canned Goods,Midwest,1705,31,0,33,2.06,0.05,Rainy,0,2.0,Spring
2026-03-14,S004,P0001,Snacks,West,1768,28,173,24,4.96,0,Sunny,1,5.88,Spring
2026-03-14,S004,P0002,Snacks,West,13,19,0,21,5.19,0.2,Cloudy,0,5.43,Spring
2026-03-14,S004,P0003,Beverages,West,353,31,131,35,2.48,0,Snowy,1,2.93,Spring
2026-03-14,S004,P0004,Beverages,West,18,31,0,31,2.38,0,Snowy,0,2.83,Spring
2026-03-14,S004,P0005,Dairy,West,21,7,0,7,3.96,0,Cloudy,0,3.78,Spring
2026-03-14,S004,P0006,Dairy,West,1479,46,0,44,3.91,0.05,Windy,0,4.07,Spring
2026-03-14,S004,P0007,Beverages,West,22,21,0,18,2.39,0,Cloudy,0,2.36,Spring
2026-03-14,S004,P0008,Frozen Foods,West,364,16,358,16,6.67,0,Cloudy,0,7.04,Spring
2026-03-14,S004,P0009,Personal Care,West,747,11,0,10,8.59,0,Snowy,0,9.3,Spring
2026-03-14,S004,P0010,Snacks,West,239,7,222,7,4.89,0.2,Sunny,0,5.34,Spring
2026-03-14,S004,P0011,Household,West,1639,8,0,8,13.28,0.15,Sunny,0,11.77,Spring
2026-03-14,S004,P0012,Household,West,1253,8,0,8,13.1,0,Windy,0,13.61,Spring
2026-03-14,S004,P0013,Bakery,West,13,12,0,10,3.65,0,Rainy,1,3.23,Spring
2026-03-14,S004,P0014,Bakery,West,856,11,0,10,3.59,0.05,Sunny,0,3.52,Spring
2026-03-14,S004,P0015,Produce,West,1928,20,389,20,2.93,0,Snowy,0,2.8,Spring
2026-03-14,S004,P0016,Produce,West,1234,16,0,16,2.9,0,Cloudy,0,2.66,Spring
2026-03-14,S004,P0017,Meat,West,374,25,0,26,10.18,0.05,Cloudy,0,10.23,Spring
2026-03-14,S004,P0018,Meat,West,417,25,0,23,10.06,0.1,Snowy,0,9.57,Spring
2026-03-14,S004,P0019,Canned Goods,West,15,11,0,10,1.95,0.15,Sunny,0,1.94,Spring
2026-03-14,S004,P0020,Canned Goods,West,1134,22,0,20,2.0,0.1,Cloudy,1,2.08,Spring
2026-03-14,S005,P0001,Snacks,Southwest,15,54,0,56,5.01,0.15,Rainy,1,4.82,Spring
2026-03-14,S005,P0002,Snacks,Southwest,29,11,0,9,5.02,0,Snowy,0,5.75,Spring
2026-03-14,S005,P0003,Beverages,Southwest,17,33,0,35,2.44,0,Sunny,0,2.08,Spring
2026-03-14,S005,P0004,Beverages,Southwest,329,6,0,6,2.41,0.2,Rainy,0,2.03,Spring
2026-03-14,S005,P0005,Dairy,Southwest,2260,31,453,28,4.09,0.2,Cloudy,0,3.21,Spring
2026-03-14,S005,P0006,Dairy,Southwest,184,21,0,19,4.19,0.1,Windy,0,4.69,Spring
2026-03-14,S005,P0007,Beverages,Southwest,527,56,0,50,2.39,0,Snowy,0,2.71,Spring
2026-03-14,S005,P0008,Frozen Foods,Southwest,28,17,0,17,7.17,0,Windy,0,8.1,Spring
2026-03-14,S005,P0009,Personal Care,Southwest,1994,20,0,17,8.63,0,Rainy,0,9.97,Spring
2026-03-14,S005,P0010,Snacks,Southwest,150,6,0,5,4.87,0,Cloudy,0,5.14,Spring
2026-03-14,S005,P0011,Household,Southwest,941,37,0,32,12.49,0,Rainy,0,13.0,Spring
2026-03-14,S005,P0012,Household,Southwest,27,59,0,62,13.17,0,Cloudy,0,11.53,Spring
2026-03-14,S005,P0013,Bakery,Southwest,1985,18,128,19,3.53,0.05,Windy,0,3.85,Spring
2026-03-14,S005,P0014,Bakery,Southwest,1041,28,0,30,3.55,0.1,Sunny,0,3.53,Spring
2026-03-14,S005,P0015,Produce,Southwest,26,11,0,9,3.0,0.1,Rainy,0,2.57,Spring
2026-03-14,S005,P0016,Produce,Southwest,321,38,316,33,2.9,0.1,Snowy,1,3.0,Spring
2026-03-14,S005,P0017,Meat,Southwest,915,54,0,54,9.95,0,Windy,0,11.22,Spring
2026-03-14,S005,P0018,Meat,Southwest,332,64,0,70,10.24,0.1,Sunny,1,9.37,Spring
2026-03-14,S005,P0019,Canned Goods,Southwest,643,2,0,2,1.98,0,Snowy,0,1.7,Spring
2026-03-14,S005,P0020,Canned Goods,Southwest,2012,54,423,51,2.07,0.05,Snowy,0,2.14,Spring
2026-03-15,S001,P0001,Snacks,Northeast,12,18,0,18,4.91,0,Windy,0,4.25,Spring
2026-03-15,S001,P0002,Snacks,Northeast,1479,66,0,71,5.23,0.05,Windy,0,4.75,Spring
2026-03-15,S001,P0003,Beverages,Northeast,165,2,0,1,2.41,0.15,Sunny,1,2.65,Spring
2026-03-15,S001,P0004,Beverages,Northeast,24,3,0,2,2.39,0,Snowy,0,2.69,Spring
2026-03-15,S001,P0005,Dairy,Northeast,1535,18,0,17,3.88,0,Sunny,1,4.78,Spring
2026-03-15,S001,P0006,Dairy,Northeast,666,35,0,35,4.1,0.2,Cloudy,0,4.59,Spring
2026-03-15,S001,P0007,Beverages,Northeast,794,26,0,25,2.43,0.1,Windy,0,2.9,Spring
2026-03-15,S001,P0008,Frozen Foods,Northeast,1057,8,268,6,6.88,0.15,Snowy,0,6.48,Spring
2026-03-15,S001,P0009,Personal Care,Northeast,13,33,0,31,8.71,0.05,Rainy,0,7.81,Spring
2026-03-15,S001,P0010,Snacks,Northeast,1659,10,462,11,5.02,0.05,Windy,0,4.77,Spring
2026-03-15,S001,P0011,Household,Northeast,1796,29,0,32,13.44,0,Windy,0,11.38,Spring
2026-03-15,S001,P0012,Household,Northeast,1542,4,0,4,12.58,0.2,Windy,0,13.3,Spring
2026-03-15,S001,P0013,Bakery,Northeast,14,6,0,5,3.63,0,Rainy,0,2.96,Spring
2026-03-15,S001,P0014,Bakery,Northeast,1023,58,0,61,3.56,0.05,Rainy,0,3.87,Spring
2026-03-15,S001,P0015,Produce,Northeast,526,36,0,33,2.95,0.05,Snowy,1,3.57,Spring
2026-03-15,S001,P0016,Produce,Northeast,447,31,0,34,2.95,0.05,Sunny,0,2.66,Spring
2026-03-15,S001,P0017,Meat,Northeast,199,11,183,10,9.69,0,Snowy,0,8.97,Spring
2026-03-15,S001,P0018,Meat,Northeast,1822,48,0,44,10.31,0.15,Snowy,0,10.92,Spring
2026-03-15,S001,P0019,Canned Goods,Northeast,123,41,121,37,2.07,0.15,Sunny,0,2.26,Spring
2026-03-15,S001,P0020,Canned Goods,Northeast,9,20,0,21,1.97,0.2,Rainy,1,1.71,Spring
2026-03-15,S002,P0001,Snacks,Southeast,19,17,0,14,5.06,0.1,Snowy,0,4.02,Spring
2026-03-15,S002,P0002,Snacks,Southeast,8,16,0,13,5.1,0.1,Cloudy,1,5.62,Spring
2026-03-15,S002,P0003,Beverages,Southeast,1625,42,0,37,2.39,0,Rainy,0,2.52,Spring
2026-03-15,S002,P0004,Beverages,Southeast,734,12,186,10,2.6,0.05,Windy,0,2.69,Spring
2026-03-15,S002,P0005,Dairy,Southeast,2,41,0,42,4.13,0.2,Sunny,1,3.8,Spring
2026-03-15,S002,P0006,Dairy,Southeast,1718,43,0,45,3.82,0.2,Snowy,0,3.72,Spring
2026-03-15,S002,P0007,Beverages,Southeast,12,54,0,49,2.59,0.15,Windy,0,2.04,Spring
2026-03-15,S002,P0008,Frozen Foods,Southeast,20,29,0,26,7.23,0,Rainy,0,7.7,Spring
2026-03-15,S002,P0009,Personal Care,Southeast,1194,55,0,51,8.54,0.1,Snowy,0,8.63,Spring
2026-03-15,S002,P0010,Snacks,Southeast,18,9,0,9,5.08,0,Windy,0,4.68,Spring
2026-03-15,S002,P0011,Household,Southeast,1891,26,0,24,13.34,0.1,Snowy,0,12.09,Spring
2026-03-15,S002,P0012,Household,Southeast,1590,9,451,8,12.8,0.05,Snowy,0,13.44,Spring
2026-03-15,S002,P0013,Bakery,Southeast,1136,32,0,34,3.56,0,Cloudy,0,3.79,Spring
2026-03-15,S002,P0014,Bakery,Southeast,855,37,428,34,3.35,0,Cloudy,0,3.85,Spring
2026-03-15,S002,P0015,Produce,Southeast,1100,1,0,0,3.01,0.1,Snowy,1,2.5,Spring
2026-03-15,S002,P0016,Produce,Southeast,1798,51,0,56,2.84,0.05,Snowy,0,3.26,Spring
2026-03-15,S002,P0017,Meat,Southeast,23,6,0,6,9.66,0,Cloudy,0,8.58,Spring
2026-03-15,S002,P0018,Meat,Southeast,1846,21,191,19,10.27,0,Cloudy,0,10.87,Spring
2026-03-15,S002,P0019,Canned Goods,Southeast,17,33,0,32,1.92,0,Snowy,0,2.09,Spring
2026-03-15,S002,P0020,Canned Goods,Southeast,1557,34,218,32,2.05,0.2,Windy,1,1.85,Spring
2026-03-15,S003,P0001,Snacks,Midwest,1663,19,152,17,5.22,0,Cloudy,0,5.26,Spring
2026-03-15,S003,P0002,Snacks,Midwest,1470,58,0,54,4.88,0.2,Snowy,0,5.85,Spring
2026-03-15,S003,P0003,Beverages,Midwest,1024,6,0,6,2.5,0.15,Snowy,0,2.2,Spring
2026-03-15,S003,P0004,Beverages,Midwest,1,46,0,50,2.56,0.05,Snowy,1,2.29,Spring
2026-03-15,S003,P0005,Dairy,Midwest,242,4,128,4,3.82,0.1,Snowy,0,4.04,Spring
2026-03-15,S003,P0006,Dairy,Midwest,494,73,495,73,4.11,0,Windy,0,4.65,Spring
2026-03-15,S003,P0007,Beverages,Midwest,668,24,0,21,2.52,0.1,Snowy,0,2.32,Spring
2026-03-15,S003,P0008,Frozen Foods,Midwest,1575,69,0,60,6.8,0.15,Windy,0,7.51,Spring
2026-03-15,S003,P0009,Personal Care,Midwest,1945,21,241,20,8.64,0.15,Windy,0,10.18,Spring
2026-03-15,S003,P0010,Snacks,Midwest,225,26,201,29,4.78,0.2,Rainy,0,4.68,Spring
2026-03-15,S003,P0011,Household,Midwest,2180,56,316,53,12.47,0.15,Snowy,0,11.95,Spring
2026-03-15,S003,P0012,Household,Midwest,26,28,0,30,13.18,0.15,Rainy,0,14.24,Spring
2026-03-15,S003,P0013,Bakery,Midwest,20,28,0,26,3.46,0.05,Rainy,0,3.67,Spring
2026-03-15,S003,P0014,Bakery,Midwest,404,11,386,10,3.57,0,Snowy,0,3.33,Spring
